Latitude,Longitude
32.85045,-117.02319
34.0225,-116.1794
37.3836,-118.67689
41.1384,-124.1562
36.59714,-118.12879
34.12525,-118.92725
36.5838,-118.11568
34.0047,-116.05874
37.51637,-118.57089
34.01437,-116.17276
38.80006,-120.13522
37.02882,-119.38352
34.1197,-116.9769
34.47098,-119.68953
38.64879,-120.70636
34.03357,-116.16007
39.32602,-120.64793
38.80513,-120.13557
37.73972,-119.54005
38.79979,-119.9998
38.64881,-120.70662
34.01731,-116.14415
37.51102,-118.5703
37.45322,-119.5361
34.5075,-119.2757
38.80261,-120.13204
36.06778,-118.22692
34.30405,-116.87845
34.58355,-119.26301
38.77584,-119.87939
39.16649,-120.16138
40.77022,-123.50299
34.01934,-116.17024
37.38788,-118.6742
34.02489,-116.1578
34.02521,-116.15706
36.10666,-118.47894
36.58219,-118.10329
34.51316,-118.40187
34.03299,-116.18474
33.9568,-116.0225
34.5627,-117.12053
34.56139,-117.12134
38.65134,-122.61858
36.521,-118.77343
34.45379,-119.62329
37.34058,-119.42248
34.20417,-117.0514
35.30227,-120.69427
34.0169,-117.4166
33.99983,-116.14687
33.01138,-116.78055
41.50877,-124.07899
38.77462,-119.83466
34.0518,-116.20417
35.30267,-120.69574
37.02956,-119.38426
37.52838,-118.57396
37.10231,-118.98844
40.48199,-121.527
33.9952,-116.0682
33.99291,-116.06971
37.74742,-119.12387
40.92217,-123.7967
38.77629,-120.30903
33.98901,-117.30771
34.03432,-116.18404
34.56215,-117.1221
39.28042,-120.51608
34.0215,-116.1777
36.58549,-118.11236
37.32837,-118.57479
33.9811,-117.2902
35.30229,-120.69638
32.82665,-117.05071
32.89671,-116.82641
36.09948,-118.4687
37.22672,-122.09952
35.81569,-118.45446
34.0272,-116.153
36.58562,-118.11378
34.47574,-119.67865
39.2451,-120.20291
34.05165,-116.20082
34.51666,-116.99191
34.24924,-117.62013
33.76002,-116.68503
36.10433,-118.47618
34.00249,-116.05927
35.3026,-120.697
34.3123,-116.8805
37.67875,-119.74886
34.10247,-116.96456
34.50707,-119.27397
38.9504,-120.136
34.28659,-118.11833
38.86971,-120.07834
32.9896,-116.96582
35.3037,-120.69618
37.49638,-118.56377
33.75803,-116.67663
36.60616,-118.13081
37.745,-119.5999
37.33623,-119.41328
34.35168,-117.11451
34.4791,-117.1313
34.4688,-117.0163
38.65093,-122.61322
38.48669,-120.22452
34.5599,-117.12673
39.44,-120.65792
37.72439,-119.70063
33.01205,-116.94636
37.72942,-118.56529
34.02427,-116.17832
37.71843,-119.64659
34.06957,-116.16993
37.78854,-118.91226
34.56338,-117.12069
39.32238,-120.31457
34.02459,-116.17916
37.07266,-118.96683
34.03514,-116.05199
34.01473,-116.16673
37.51096,-118.57058
37.73378,-119.61233
40.7793,-122.0023
34.02919,-116.199
37.41682,-119.47088
34.32886,-117.84635
36.49795,-121.2038
